,LifetimeB1,LifetimeB2,ATLASlumi,CMSlumi,IntB1,IntB2,Ene,Betastar_IP1,Betastar_IP5,Xing_IP1,Xing_IP5,BMode
1525597481.785,0.206,0.0,0.0,0.0,3340000000.0,-440000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597491.785,2.567,0.0,0.0,0.0,8480000000.0,-690000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597501.785,2.529,0.0,0.0,0.0,8230000000.0,-750000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597511.785,2.629,0.0,0.0,0.0,8460000000.0,-90000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597521.785,2.652,3.8,0.0,0.0,8030000000.0,9650000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597531.785,2.656,6.327,0.0,0.0,8690000000.0,8960000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597541.785,2.738,6.655,0.0,0.0,8800000000.0,9410000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597551.785,2.797,6.624,0.0,0.0,7690000000.0,9680000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597561.785,2.761,6.433,0.0,0.0,8180000000.0,9730000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597571.785,2.74,6.904,0.0,0.0,8400000000.0,9760000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597581.785,2.93,6.803,0.0,0.0,8570000000.0,9520000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597591.785,2.745,6.771,0.0,0.0,7950000000.0,9700000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597601.785,2.775,6.338,0.0,0.0,7840000000.0,9170000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597611.785,2.765,6.947,0.0,0.0,7530000000.0,9270000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597621.785,2.886,7.017,0.0,0.000172885,8250000000.0,9370000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597631.785,2.75,6.936,0.0,0.0,8410000000.0,9540000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597641.785,2.718,6.793,0.0,0.000172885,7830000000.0,9440000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597651.785,2.733,6.924,0.0,0.000172885,7570000000.0,9470000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597661.785,2.819,6.812,0.0,0.000172885,7470000000.0,9670000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597671.785,2.592,6.402,0.0,0.0,7350000000.0,9390000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597681.785,0.0,0.0,0.0,0.0,-1780000000.0,-580000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597691.785,0.0,0.0,0.0,0.0,-2570000000.0,-1020000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597701.785,0.0,0.0,0.0,0.0,-2100000000.0,-530000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597711.785,0.0,0.0,0.0,0.0,-2090000000.0,-720000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597721.785,0.0,0.0,0.0,0.0,-2470000000.0,-500000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597731.785,0.0,0.0,0.0,0.0,-2150000000.0,-770000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597741.785,0.0,0.0,0.0,0.0,-2570000000.0,-10000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597751.785,0.0,0.0,0.0,0.0,-1490000000.0,-450000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597761.785,0.0,0.0,0.0,0.0,-1890000000.0,-390000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597771.785,0.0,0.0,0.0,0.0,-1470000000.0,-610000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597781.785,2.522,0.0,0.0,0.0,6710000000.0,-220000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597791.785,2.603,0.0,0.0,0.0,6710000000.0,-410000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597801.785,2.601,0.0,0.0,0.0,7240000000.0,-450000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597811.785,2.609,0.0,0.0,0.0,7410000000.0,-540000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597821.785,2.764,6.42,0.0,0.0,6540000000.0,9080000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597831.785,2.687,6.745,0.0,0.0,8180000000.0,8950000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597841.785,2.763,6.115,0.0,0.0,7960000000.0,8950000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597851.785,2.604,6.116,0.0,0.000172885,7400000000.0,8680000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597861.785,2.657,6.278,0.0,0.0,6260000000.0,9060000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597871.785,2.579,6.331,0.0,0.0,8090000000.0,9030000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597881.785,2.583,6.419,0.0,0.0,6710000000.0,8670000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597891.785,2.627,6.349,0.0,0.0,7360000000.0,9030000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597901.785,2.641,6.347,0.0,0.0,6420000000.0,8910000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597911.785,2.589,6.151,0.0,0.0,6260000000.0,8560000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597921.785,2.731,6.248,0.0,0.0,6790000000.0,8150000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597931.785,2.72,6.382,0.0,0.0,6540000000.0,8260000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597941.785,2.587,6.43,0.0,0.0,7680000000.0,8480000000.0,494.0,48.0,45.0,170.0,170.0,2.0
